student_id,attendance_pct,homework_pct,midterm_score,study_hours_per_week,pass,absence_rate,performance_score,study_efficiency,low_engagement_flag
1,95,92,88,12,1,0.05,91.3,7.333333333333333,0
2,88,85,79,10,1,0.12,83.5,7.9,0
3,60,55,58,4,0,0.4,57.7,14.5,1
4,72,70,65,6,1,0.28,68.6,10.833333333333334,0
5,40,45,50,3,0,0.6,45.5,16.666666666666668,1
6,85,90,91,14,1,0.15,88.9,6.5,0
7,78,80,74,8,1,0.22,77.0,9.25,0
8,55,60,62,5,0,0.45,59.3,12.4,1
9,90,88,84,11,1,0.1,87.0,7.636363636363637,0
10,68,65,60,6,1,0.32,63.9,10.0,1
11,30,35,42,2,0,0.7,36.3,21.0,1
12,82,78,76,9,1,0.18,78.39999999999999,8.444444444444445,0
13,74,70,68,7,1,0.26,70.4,9.714285714285714,0
14,50,48,55,4,0,0.5,51.4,13.75,1
15,92,95,93,15,1,0.08,93.3,6.2,0
16,65,60,59,5,0,0.35,61.1,11.8,1
17,80,85,82,10,1,0.2,82.30000000000001,8.2,0
18,45,50,52,3,0,0.55,49.3,17.333333333333332,1
19,88,90,86,12,1,0.12,87.8,7.166666666666667,0
20,70,68,66,7,1,0.3,67.8,9.428571428571429,0
21,58,55,57,4,0,0.42,56.699999999999996,14.25,1
22,83,80,78,9,1,0.17,80.1,8.666666666666666,0
23,35,40,48,2,0,0.65,41.7,24.0,1
24,76,72,70,8,1,0.24,72.39999999999999,8.75,0
25,90,88,85,11,1,0.1,87.4,7.7272727272727275,0
26,62,60,58,5,0,0.38,59.8,11.6,1
27,48,45,50,3,0,0.52,47.9,16.666666666666668,1
28,86,84,80,10,1,0.14,83.0,8.0,0
29,67,65,63,6,1,0.33,64.8,10.5,1
30,52,50,54,4,0,0.48,52.2,13.5,1
31,91,89,87,12,1,0.09,88.8,7.25,0
32,84,82,79,9,1,0.16,81.4,8.777777777777779,0
33,59,57,56,4,0,0.41,57.2,14.0,1
34,73,71,69,7,1,0.27,70.80000000000001,9.857142857142858,0
35,42,44,49,3,0,0.58,45.4,16.333333333333332,1
36,87,90,92,14,1,0.13,89.9,6.571428571428571,0
37,79,78,75,8,1,0.21,77.1,9.375,0
38,56,58,60,5,0,0.44,58.2,12.0,1
39,89,87,83,11,1,0.11,86.0,7.545454545454546,0
40,69,66,64,6,1,0.31,66.10000000000001,10.666666666666666,1
41,33,38,45,2,0,0.67,39.3,22.5,1
42,81,79,77,9,1,0.19,78.8,8.555555555555555,0
43,75,72,70,7,1,0.25,72.1,10.0,0
44,51,49,53,4,0,0.49,51.2,13.25,1
45,93,94,95,15,1,0.07,94.1,6.333333333333333,0
46,64,61,60,5,0,0.36,61.5,12.0,1
47,82,86,84,10,1,0.18,84.0,8.4,0
48,46,52,54,3,0,0.54,51.0,18.0,1
49,87,89,85,12,1,0.13,86.8,7.083333333333333,0
50,71,69,67,7,1,0.29,68.8,9.571428571428571,0
51,57,56,58,4,0,0.43,57.099999999999994,14.5,1
52,84,81,79,9,1,0.16,81.10000000000001,8.777777777777779,0
53,36,41,47,2,0,0.64,41.9,23.5,1
54,77,73,71,8,1,0.23,73.39999999999999,8.875,0
55,89,88,86,11,1,0.11,87.5,7.818181818181818,0
56,63,62,59,5,0,0.37,61.1,11.8,1
57,49,46,51,3,0,0.51,48.900000000000006,17.0,1
58,85,83,81,10,1,0.15,82.8,8.1,0
59,68,66,64,6,1,0.32,65.80000000000001,10.666666666666666,1
60,53,51,55,4,0,0.47,53.199999999999996,13.75,1
61,92,91,89,13,1,0.08,90.5,6.846153846153846,0
62,86,84,82,10,1,0.14,83.8,8.2,0
63,61,59,57,4,0,0.39,58.8,14.25,1
64,74,72,69,7,1,0.26,71.4,9.857142857142858,0
65,43,45,50,3,0,0.57,46.4,16.666666666666668,1
66,88,91,93,14,1,0.12,90.9,6.642857142857143,0
67,80,79,76,8,1,0.2,78.1,9.5,0
68,54,57,59,5,0,0.46,56.900000000000006,11.8,1
69,91,89,85,11,1,0.09,88.0,7.7272727272727275,0
70,70,67,65,6,1,0.3,67.1,10.833333333333334,0
71,34,39,44,2,0,0.66,39.5,22.0,1
72,83,80,78,9,1,0.17,80.1,8.666666666666666,0
73,76,74,72,8,1,0.24,73.8,9.0,0
74,50,47,52,4,0,0.5,49.9,13.0,1
75,94,96,97,15,1,0.06,95.8,6.466666666666667,0
76,66,63,61,5,0,0.34,63.099999999999994,12.2,1
